doc_id,pmid,sentence,text,umls_codes,umls_concept_name,possible_alternative_codes
1,10051005,"We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.","colorectal, endometrial, and ovarian cancers","['T0000016 - C0346629', 'C0009402', 'C1527249']",Malignant neoplasm of large intestine- Group name,[]
1,10051005,"We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.","endometrial, and ovarian cancers","['T0000012 -C0476089', 'C0007103']",Endometrial Carcinoma - Malignant Endometrial Neoplasm,[]
1,10051005,"We calculated age related risks of all, colorectal, endometrial, and ovarian cancers in nt943+3 A--T MSH2 mutation carriers (n=76) for all patients and for men and women separately.",ovarian cancers,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
2,10051007,Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene.,HD,['C0020179'],Huntington Disease,[]
2,10051007,Age of onset (AO) of Huntington disease (HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene.,Huntington disease,['C0020179'],Huntington Disease,[]
3,100562,HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci.,C7 deficiency,[],COMPLEMENT COMPONENT 7 DEFICIENCY,['C1864694']
4,100562,This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..,C7 deficiency,[],COMPLEMENT COMPONENT 7 DEFICIENCY,['C1864694']
4,100562,This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..,infectious complications,['C0940933'],"Complication, infection",[]
4,100562,This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections..,neisseria infections,['C0851883'],Neisseria infection,[]
5,10064668,OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.,CHH,['C0220748'],Metaphyseal chondrodysplasia,[]
5,10064668,OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.,cancer,['C0006826'],Malignant Neoplasms,[]
5,10064668,OBJECTIVE: Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia CHH.,cartilage-hair hypoplasia,['C0220748'],Metaphyseal chondrodysplasia,[]
6,10072428,Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.,Familial gastric cancer,['C1333600'],Hereditary Malignant Neoplasm,[]
6,10072428,Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations.,gastric cancer,"['T0000013 -C0024623', 'C0699791']",Malignant neoplasm of stomach - Stomach Carcinoma,[]
7,10072428,"Therefore, we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations, by SSCP analysis of all 16 exons and flanking sequences.",familial gastric cancer,['C1333600'],Hereditary Malignant Neoplasm,[]
7,10072428,"Therefore, we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations, by SSCP analysis of all 16 exons and flanking sequences.",gastric cancer,"['T0000013 -C0024623', 'C0699791']",Malignant neoplasm of stomach - Stomach Carcinoma,[]
8,10072428,We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations.,familial gastric cancer,['C1333600'],Hereditary Malignant Neoplasm,[]
8,10072428,We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations.,gastric cancer,"['T0000013 -C0024623', 'C0699791']",Malignant neoplasm of stomach - Stomach Carcinoma,[]
9,10072428,"However, only a minority of familial gastric cancers can be accounted for by CDH1 mutations.",familial gastric cancers,['C0699791'],Hereditary Malignant Neoplasm,[]
9,10072428,"However, only a minority of familial gastric cancers can be accounted for by CDH1 mutations.",gastric cancers,"['T0000013 -C0024623', 'C0699791']",Malignant neoplasm of stomach - Stomach Carcinoma,[]
10,10077614,"The analysis of diseases linked specifically with WT1 mutations, such as Denys-Drash syndrome (DDS), can provide valuable insight concerning the role of WT1 in development and disease.",DDS,['C0950121'],Denys-Drash Syndrome,[]
10,10077614,"The analysis of diseases linked specifically with WT1 mutations, such as Denys-Drash syndrome (DDS), can provide valuable insight concerning the role of WT1 in development and disease.",Denys-Drash syndrome,['C0950121'],Denys-Drash Syndrome,[]
11,10078749,These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa-responsive dystonia..,dopa-responsive dystonia,['C0393593'],Dystonic Disorder,"['C1851920- DYSTONIA', 'DOPA-RESPONSIVE']"
12,10083734,Genetic analyses of Japanese C9 deficiency have shown that a C-to-T transition leading to TGA stop codon for Arg95 in exon 4 of the C9 gene (Arg95Stop) is common in Japanese C9 deficiency.,C9 deficiency,[],C9 DEFICIENCY,['C1852676']
12,10083734,Genetic analyses of Japanese C9 deficiency have shown that a C-to-T transition leading to TGA stop codon for Arg95 in exon 4 of the C9 gene (Arg95Stop) is common in Japanese C9 deficiency.,C9 deficiency,[],C9 DEFICIENCY,['C1852676']
13,10083734,An estimated frequency (0.12%) of complete C9 deficiency due to homozygous Arg95Stop mutation was consistent with frequencies determined by serological studies..,C9 deficiency,[],C9 DEFICIENCY,['C1852676']
14,10085150,"HFE is the protein product of the gene mutated in the autosomal recessive disease hereditary hemochromatosis Feder, J. N., Gnirke, A., Thomas, W., Tsuchihashi, Z., Ruddy, D. A., Basava, A., Dormishian, F., Domingo, R. J., Ellis, M. C., Fullan, A., Hinton, L. M., Jones, N. L., Kimmel, B. E., Kronmal, G. S., Lauer, P., Lee, V. K., Loeb, D. B., Mapa, F. A., McClelland, E., Meyer, N. C., Mintier, G. A., Moeller, N., Moore, T., Morikang, E., Prasss, C. E., Quintana, L., Starnes, S. M., Schatzman, R. C., Brunke, K. J., Drayna, D. T., Risch, N. J., Bacon, B. R., and Wolff, R. R. (1996) Nat.",autosomal recessive disease,['C0265388'],Autosomal recessive hereditary disorder,[]
14,10085150,"HFE is the protein product of the gene mutated in the autosomal recessive disease hereditary hemochromatosis Feder, J. N., Gnirke, A., Thomas, W., Tsuchihashi, Z., Ruddy, D. A., Basava, A., Dormishian, F., Domingo, R. J., Ellis, M. C., Fullan, A., Hinton, L. M., Jones, N. L., Kimmel, B. E., Kronmal, G. S., Lauer, P., Lee, V. K., Loeb, D. B., Mapa, F. A., McClelland, E., Meyer, N. C., Mintier, G. A., Moeller, N., Moore, T., Morikang, E., Prasss, C. E., Quintana, L., Starnes, S. M., Schatzman, R. C., Brunke, K. J., Drayna, D. T., Risch, N. J., Bacon, B. R., and Wolff, R. R. (1996) Nat.",hereditary hemochromatosis,['C0392514'],Hereditary hemochromatosis,[]
15,10094552,"We have retrospectively analyzed 837 random anonymized dried blood spot (DBS) samples from neonatal screening programs in Scandinavia for mutations in HFE, the candidate gene for hemochromatosis.",hemochromatosis,['C0018995'],Hemochromatosis,[]
16,10190331,"In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.",EVA,[],ENLARGED VESTIBULAR AQUEDUCT SYNDROME,['C1863752']
16,10190331,"In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.",Pendred syndrome,['C0271829'],Pendred syndrome,[]
16,10190331,"In the present study, seven mutations in the PDS gene (PDS), the gene responsible for Pendred syndrome, have been found in families of non-syndromic sensorineural hearing loss with EVA.",sensorineural hearing loss,['C0018784'],Sensorineural Hearing Loss,[]
17,10190819,"METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.",ALD,"['T0000003 - C0162309', 'C0282525']","Adrenoleukodystrophy - Adrenoleukodystrophy, Neonatal",[]
17,10190819,"METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.",ALD,"['T0000003 - C0162309', 'C0282525']","Adrenoleukodystrophy - Adrenoleukodystrophy, Neonatal",[]
17,10190819,"METHODS: The 29 patients comprised 13 patients with childhood cerebral ALD, 11 patients with adult-onset cerebral ALD, and 5 patients with adrenomyeloneuropathy.",adrenomyeloneuropathy,['C1527231'],Adrenomyeloneuropathy,[]
18,10192399,"Pendrin is closely related to a family of sulfate transport proteins that includes the rat sulfate-anion transporter (encoded by Sat-1; 29% amino acid sequence identity), the human diastrophic dysplasia sulfate transporter (encoded by DTD; 32%) and the human sulfate transporter 'downregulated in adenoma' encoded by DRA; 45%.",diastrophic dysplasia,['C0220726'],Diastrophic dysplasia,[]
18,10192399,"Pendrin is closely related to a family of sulfate transport proteins that includes the rat sulfate-anion transporter (encoded by Sat-1; 29% amino acid sequence identity), the human diastrophic dysplasia sulfate transporter (encoded by DTD; 32%) and the human sulfate transporter 'downregulated in adenoma' encoded by DRA; 45%.",adenoma,['C0001430'],adenoma,[]
19,10196379,"To achieve this, we determined the prevalence of BRCA1 alterations in a population-based series of consecutive ovarian cancer cases.",ovarian cancer,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
20,10196379,This is the first population-based ovarian cancer study reporting BRCA1 alterations derived from a comprehensive screen of the entire coding region.,ovarian cancer,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
21,10196379,One hundred and seven ovarian cancer cases were analyzed for BRCA1 alterations using the RNase mismatch cleavage assay followed by direct sequencing.,ovarian cancer,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
